単位[MW平均],,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（LNG）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/4/1,0:00,13456,4886,4538,2232,1,713,1243,0,325,0,0,4,0,234,1,-798,77,13456
2025/4/1,0:30,13015,4886,4076,2225,1,704,1215,0,327,0,0,4,0,206,1,-708,78,13015
2025/4/1,1:00,12920,4885,3795,2149,1,703,1194,0,325,0,0,4,0,208,4,-430,82,12920
2025/4/1,1:30,12945,4886,4148,2144,1,705,1187,0,317,0,0,3,0,207,2,-734,79,12945
2025/4/1,2:00,13136,4885,4628,2145,1,699,1182,0,317,0,0,4,0,208,4,-1020,83,13136
2025/4/1,2:30,13389,4885,4742,2149,1,700,1181,0,325,0,0,6,0,208,3,-894,83,13389
2025/4/1,3:00,13661,4885,4608,2168,1,700,1239,0,328,0,0,6,0,207,0,-570,89,13661
2025/4/1,3:30,13701,4886,4957,2220,1,701,1245,0,326,0,0,7,0,206,0,-936,88,13701
2025/4/1,4:00,13754,4885,5012,2219,1,700,1243,0,329,0,0,6,0,207,0,-936,88,13754
2025/4/1,4:30,13821,4886,5275,2154,1,699,1255,0,325,0,0,11,0,217,0,-1088,86,13821
2025/4/1,5:00,13887,4885,5517,2221,1,696,1288,0,320,0,0,9,0,-21,0,-1116,87,13887
2025/4/1,5:30,14060,4885,5804,2154,1,692,1293,0,322,1,0,5,0,-82,0,-1100,85,14060
2025/4/1,6:00,14430,4886,5417,2122,1,687,1413,0,326,73,0,5,0,-81,3,-500,78,14430
2025/4/1,6:30,14810,4886,5273,2135,1,685,1444,0,326,314,0,5,0,-81,1,-258,79,14810
2025/4/1,7:00,15252,4887,5372,2125,1,684,1497,0,326,743,0,4,0,-81,1,-370,63,15252
2025/4/1,7:30,16060,4888,5812,2073,1,686,1554,0,326,1213,0,5,0,-37,1,-526,64,16060
2025/4/1,8:00,16898,4887,5694,1964,1,689,1817,0,327,1706,0,6,0,48,6,-290,43,16898
2025/4/1,8:30,17709,4887,5385,1959,1,696,1758,0,326,2047,0,4,0,22,3,576,45,17709
2025/4/1,9:00,17947,4888,5454,1958,1,696,1631,0,323,2457,0,5,0,348,1,144,41,17947
2025/4/1,9:30,17933,4887,4752,1956,1,700,1604,0,323,2693,0,3,0,343,2,630,39,17933
2025/4/1,10:00,17781,4887,4901,1963,1,716,1054,0,323,2835,0,6,0,333,1,732,29,17781
2025/4/1,10:30,17644,4887,4621,1954,1,718,894,0,325,2984,0,8,0,217,1,1008,26,17644
2025/4/1,11:00,17555,4887,4622,1954,1,719,734,0,327,3013,0,7,0,62,3,1204,22,17555
2025/4/1,11:30,17401,4887,4906,1959,1,718,712,0,327,3035,0,4,0,-265,1,1092,24,17401
2025/4/1,12:00,16606,4887,4582,1962,1,721,688,0,327,2957,0,2,0,-307,3,776,7,16606
2025/4/1,12:30,16370,4886,4712,1966,1,719,687,0,328,2966,0,2,0,-405,6,492,10,16370
2025/4/1,13:00,16955,4887,5018,1961,1,720,690,0,322,2831,0,3,0,-325,4,826,17,16955
2025/4/1,13:30,16814,4886,5200,1962,1,719,699,0,324,2848,0,3,0,-125,3,278,16,16814
2025/4/1,14:00,16874,4886,5653,1958,1,720,729,0,328,2597,0,2,0,56,7,-102,39,16874
2025/4/1,14:30,16614,4887,5651,1964,1,719,764,0,328,2161,0,2,0,84,7,6,40,16614
2025/4/1,15:00,16600,4887,5659,2041,1,721,843,0,328,1738,0,1,0,174,10,144,53,16600
2025/4/1,15:30,16538,4887,5442,2118,1,715,999,0,328,1205,0,2,0,83,7,698,53,16538
2025/4/1,16:00,16620,4888,5555,2127,1,714,1278,0,326,816,0,3,0,18,0,818,76,16620
2025/4/1,16:30,16712,4887,5646,2100,1,710,1427,0,327,456,0,4,0,279,4,794,77,16712
2025/4/1,17:00,16672,4887,5239,2111,1,693,1915,0,324,239,0,5,0,576,2,594,86,16672
2025/4/1,17:30,16901,4886,5826,2071,1,687,1994,0,325,90,0,5,0,715,4,212,85,16901
2025/4/1,18:00,17249,4885,6243,2119,1,684,2108,0,324,5,0,4,0,1046,7,-276,99,17249
2025/4/1,18:30,17297,4886,6311,2128,1,682,2127,0,326,0,0,2,0,1086,3,-352,97,17297
2025/4/1,19:00,17123,4887,6024,2129,1,680,2212,0,328,0,0,2,0,666,2,96,96,17123
2025/4/1,19:30,16903,4887,5835,2129,1,680,2209,0,327,0,0,2,0,561,1,176,95,16903
2025/4/1,20:00,16657,4886,6113,2124,1,682,2122,0,327,0,0,1,0,639,1,-332,93,16657
2025/4/1,20:30,16430,4886,5950,2067,1,681,2100,0,327,0,0,1,0,319,3,2,93,16430
