date_time,sell_bid_amount,buy_bid_amount,total_contract_amount,system_price,hokkaido_area_price,tohoku_area_price,tokyo_area_price,chubu_area_price,hokuriku_area_price,kansai_area_price,chugoku_area_price,shikoku_area_price,kyushu_area_price,sell_block_bid_total_amount,total_sell_block_execution_amount,buy_block_bid_total_amount,total_buy_block_total_amount
2022-01-01 00:00:00,18109750,19732300,16671250,15.46,19.86,19.86,19.86,19.86,19.86,19.86,19.86,19.86,13.25,4778800.0,3714450.0,1674250.0,861300.0
2022-01-01 00:30:00,19574000,20603350,17250450,15.46,19.84,19.84,19.84,19.84,19.84,19.84,19.84,19.84,13.25,5377700.0,3916650.0,2625450.0,1677200.0
2022-01-01 01:00:00,20715000,20963000,17568350,15.46,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,13.25,5635800.0,3937450.0,3337500.0,2238250.0
2022-01-01 01:30:00,21421600,21306050,17867750,15.46,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,13.25,6014100.0,3940050.0,3730850.0,2607300.0
2022-01-01 02:00:00,21960500,21443450,17997900,15.46,17.49,17.49,17.49,17.49,17.49,17.49,17.49,17.49,13.25,6400900.0,3936450.0,4041000.0,2898850.0
2022-01-01 02:30:00,22239800,21463050,18038500,15.46,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,13.25,6648850.0,3933900.0,4286100.0,3102200.0
2022-01-01 03:00:00,22636750,21523300,18073550,15.46,16.96,16.96,16.96,16.96,16.96,16.96,16.96,16.96,13.25,6895350.0,3932600.0,4503150.0,3335750.0
2022-01-01 03:30:00,23329100,21626500,18245350,15.46,16.61,16.61,16.61,16.61,16.61,16.61,16.61,16.61,10.53,7069800.0,3930250.0,4749600.0,3542000.0
2022-01-01 04:00:00,23657000,21561500,18302450,15.46,16.6,16.6,16.6,16.6,16.6,16.6,16.6,16.6,10.53,7151700.0,3928950.0,4934100.0,3700000.0
2022-01-01 04:30:00,23714500,21671400,18358500,15.46,16.97,16.97,16.97,16.97,16.97,16.97,16.97,16.97,10.53,7262800.0,3934550.0,5036650.0,3841600.0
2022-01-01 05:00:00,23927150,21351600,18415300,15.46,15.0,15.0,15.0,15.93,15.93,15.93,15.93,15.93,10.53,7463800.0,3933050.0,4959850.0,3863050.0
2022-01-01 05:30:00,23954450,21263850,18334550,15.46,15.16,15.16,15.16,15.93,15.93,15.93,15.93,15.93,9.87,7598250.0,3932000.0,4764800.0,3810600.0
2022-01-01 06:00:00,23811050,20975350,17955200,15.46,15.13,16.61,16.61,16.61,16.61,16.61,16.61,16.61,9.87,7609550.0,3933800.0,4711100.0,3822050.0
2022-01-01 06:30:00,23739800,21185400,17972500,15.46,13.15,16.65,16.65,16.65,16.65,16.65,16.65,16.65,9.87,7719800.0,3930850.0,4709500.0,3765350.0
2022-01-01 07:00:00,23566850,21242250,17881200,15.46,12.99,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,7864500.0,3754050.0,4691350.0,3785500.0
2022-01-01 07:30:00,24239850,21442350,18093300,15.46,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,7788200.0,3495250.0,4480600.0,3786800.0
2022-01-01 08:00:00,25142950,21765400,18563650,16.04,16.66,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,8126950.0,3268500.0,4457150.0,3917850.0
2022-01-01 08:30:00,26982500,21695200,18639650,15.15,16.65,16.65,16.65,16.65,16.65,16.65,16.65,16.65,9.87,8692850.0,3018900.0,4235950.0,3765800.0
2022-01-01 09:00:00,27945300,21182550,18820350,11.17,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,4.04,9724750.0,2772050.0,4071050.0,3576950.0
2022-01-01 09:30:00,30339000,20377500,18709800,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,10960400.0,2346400.0,3859650.0,3431700.0
2022-01-01 10:00:00,31284500,20273500,18566900,9.87,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,11562150.0,2055700.0,3869800.0,3367550.0
2022-01-01 10:30:00,32959350,20154650,18604100,7.59,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.01,11719700.0,1990900.0,3815600.0,3290000.0
2022-01-01 11:00:00,33059050,19956950,18685550,1.0,7.61,7.61,7.61,7.61,7.61,7.61,7.61,7.61,0.01,11877150.0,1976250.0,3555000.0,3164550.0
2022-01-01 11:30:00,34051600,19596700,18564400,0.01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.01,12106500.0,1975650.0,3398150.0,3063350.0
2022-01-01 12:00:00,34144400,19630900,18606750,0.01,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,12112800.0,1975450.0,3355500.0,3030850.0
2022-01-01 12:30:00,33882900,19504700,18480650,0.01,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,12077450.0,1975100.0,3353650.0,3029100.0
2022-01-01 13:00:00,33655950,19545400,18426550,0.01,7.35,7.35,7.35,7.35,7.35,7.35,7.35,7.35,0.01,11681400.0,1986050.0,3533450.0,3209000.0
2022-01-01 13:30:00,32089200,19473450,18181900,0.01,8.09,8.09,8.09,8.09,8.09,8.09,8.09,8.09,0.01,11271350.0,2045700.0,3702300.0,3360450.0
2022-01-01 14:00:00,31404450,19387550,17927100,2.0,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,0.01,10662450.0,2074950.0,3766700.0,3317700.0
2022-01-01 14:30:00,29676650,19089750,17596550,7.56,11.17,11.17,11.17,11.17,11.17,11.17,11.17,11.17,0.01,10366550.0,2076550.0,3720700.0,3267850.0
2022-01-01 15:00:00,28991950,19131850,17425000,9.87,13.42,13.42,13.42,13.42,13.42,13.42,13.42,13.42,0.01,9629150.0,2086300.0,3925350.0,3356600.0
2022-01-01 15:30:00,27102200,19352300,17082550,9.87,15.39,15.39,15.39,15.39,13.85,13.85,13.85,13.85,0.01,9062250.0,2158500.0,3998050.0,3420250.0
2022-01-01 16:00:00,24834650,20361850,17051150,16.65,19.62,19.62,19.62,19.62,19.62,19.62,19.62,19.62,2.0,8348450.0,2499900.0,4192150.0,3378300.0
2022-01-01 16:30:00,23022950,21563500,17010650,26.64,28.14,28.14,28.14,28.14,28.14,28.14,28.14,28.14,9.87,7578750.0,2885150.0,4423200.0,3274000.0
2022-01-01 17:00:00,22273900,22303700,17910600,22.0,26.69,26.69,26.69,26.69,26.69,26.69,26.69,26.69,15.46,6575050.0,3340450.0,4469900.0,3230200.0
