date_time,sell_bid_amount,buy_bid_amount,total_contract_amount,system_price,hokkaido_area_price,tohoku_area_price,tokyo_area_price,chubu_area_price,hokuriku_area_price,kansai_area_price,chugoku_area_price,shikoku_area_price,kyushu_area_price,sell_block_bid_total_amount,total_sell_block_execution_amount,buy_block_bid_total_amount,total_buy_block_total_amount,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,pressure_msl,cloud_cover,cloud_cover_low,cloud_cover_high,cloud_cover_mid,wind_speed_10m,wind_direction_10m,wind_speed_100m,wind_direction_100m,weather_code
2022-01-01 00:00:00+00:00,18841875.0,20167825.0,16960850.0,15.46,19.85,19.85,19.85,19.85,19.85,19.85,19.85,19.85,13.25,5078250.0,3815550.0,2149850.0,1269250.0,2.7310002,48.67541,0.0,0.0,0.0,1019.6,1.0,0.0,0.0,4.0,16.575644,267.5105,29.09103,282.14426,0.0
2022-01-01 01:00:00+00:00,21068300.0,21134525.0,17718050.0,15.46,18.61,18.61,18.61,18.61,18.61,18.61,18.61,18.61,13.25,5824950.0,3938750.0,3534175.0,2422775.0,4.381,39.19008,0.0,0.0,0.0,1019.9,0.0,0.0,0.0,0.0,25.809765,300.1413,32.359974,302.27563,0.0
2022-01-01 02:00:00+00:00,22100150.0,21453250.0,18018200.0,15.46,17.595,17.595,17.595,17.595,17.595,17.595,17.595,17.595,13.25,6524875.0,3935175.0,4163550.0,3000525.0,5.231,27.463337,0.0,0.0,0.0,1019.7,2.0,1.0,0.0,2.0,39.18712,308.65982,49.419754,308.7902,0.0
2022-01-01 03:00:00+00:00,22982925.0,21574900.0,18159450.0,15.46,16.785,16.785,16.785,16.785,16.785,16.785,16.785,16.785,11.89,6982575.0,3931425.0,4626375.0,3438875.0,5.581,28.690434,0.0,0.0,0.0,1019.2,3.0,3.0,0.0,2.0,39.966484,315.3649,49.63955,314.70618,0.0
2022-01-01 04:00:00+00:00,23685750.0,21616450.0,18330475.0,15.46,16.785,16.785,16.785,16.785,16.785,16.785,16.785,16.785,10.53,7207250.0,3931750.0,4985375.0,3770800.0,5.4309998,32.51895,0.0,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,38.440853,326.45874,47.040302,324.972,0.0
2022-01-01 05:00:00+00:00,23940800.0,21307725.0,18374925.0,15.46,15.08,15.08,15.08,15.93,15.93,15.93,15.93,15.93,10.2,7531025.0,3932525.0,4862325.0,3836825.0,5.481,33.310253,0.0,0.0,0.0,1019.3,0.0,0.0,0.0,0.0,34.458603,327.8043,42.548588,327.7891,0.0
2022-01-01 06:00:00+00:00,23775425.0,21080375.0,17963850.0,15.46,14.14,16.63,16.63,16.63,16.63,16.63,16.63,16.63,9.87,7664675.0,3932325.0,4710300.0,3793700.0,5.131,34.94198,0.0,0.0,0.0,1019.8,0.0,0.0,0.0,0.0,33.96233,327.99466,43.542145,327.4925,0.0
2022-01-01 07:00:00+00:00,23903350.0,21342300.0,17987250.0,15.46,14.825,16.66,16.66,16.66,16.66,16.66,16.66,16.66,9.87,7826350.0,3624650.0,4585975.0,3786150.0,3.8810003,40.588356,0.0,0.0,0.0,1020.9,1.0,1.0,0.0,0.0,31.67386,328.47787,44.53681,327.2091,0.0
2022-01-01 08:00:00+00:00,26062725.0,21730300.0,18601650.0,15.594999999999999,16.655,16.655,16.655,16.655,16.655,16.655,16.655,16.655,9.87,8409900.0,3143700.0,4346550.0,3841825.0,2.381,45.657425,0.0,0.0,0.0,1021.8,6.0,6.0,0.0,0.0,27.212759,332.41806,41.12517,330.06857,0.0
2022-01-01 09:00:00+00:00,29142150.0,20780025.0,18765075.0,10.52,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,2.025,10342575.0,2559225.0,3965350.0,3504325.0,1.6309999,48.542057,0.0,0.0,0.0,1023.0,2.0,2.0,0.0,0.0,23.4,329.48984,36.64404,326.62213,0.0
2022-01-01 10:00:00+00:00,32121925.0,20214075.0,18585500.0,8.73,10.035,10.035,10.035,10.035,10.035,10.035,10.035,10.035,0.01,11640925.0,2023300.0,3842700.0,3328775.0,0.931,50.84506,0.0,0.0,0.0,1023.5,4.0,4.0,0.0,0.0,20.592503,323.53067,33.121956,322.50726,0.0
2022-01-01 11:00:00+00:00,33555325.0,19776825.0,18624975.0,0.505,4.805,4.805,4.805,4.805,4.805,4.805,4.805,4.805,0.01,11991825.0,1975950.0,3476575.0,3113950.0,0.281,53.080215,0.0,0.0,0.0,1023.9,4.0,4.0,0.0,0.0,18.581022,324.46225,30.96837,324.46225,0.0
2022-01-01 12:00:00+00:00,34013650.0,19567800.0,18543700.0,0.01,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,0.01,12095125.0,1975275.0,3354575.0,3029975.0,1.431,42.108562,0.0,0.0,0.0,1024.1,0.0,0.0,0.0,0.0,29.328403,311.51663,45.357143,312.42657,0.0
2022-01-01 13:00:00+00:00,32872575.0,19509425.0,18304225.0,0.01,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,0.01,11476375.0,2015875.0,3617875.0,3284725.0,1.431,43.286148,0.0,0.0,0.0,1024.5,0.0,0.0,0.0,0.0,26.787966,311.18582,43.057266,312.6281,0.0
2022-01-01 14:00:00+00:00,30540550.0,19238650.0,17761825.0,4.779999999999999,10.035,10.035,10.035,10.035,10.035,10.035,10.035,10.035,0.01,10514500.0,2075750.0,3743700.0,3292775.0,1.281,45.506226,0.0,0.0,0.0,1024.6,9.0,9.0,0.0,0.0,25.501621,318.43372,42.095375,318.81418,0.0
2022-01-01 15:00:00+00:00,28047075.0,19242075.0,17253775.0,9.87,14.405000000000001,14.405000000000001,14.405000000000001,14.405000000000001,13.635,13.635,13.635,13.635,0.01,9345700.0,2122400.0,3961700.0,3388425.0,0.831,49.258934,0.0,0.0,0.0,1024.5,0.0,0.0,0.0,0.0,23.0653,325.8138,39.254856,324.70657,0.0
2022-01-01 16:00:00+00:00,23928800.0,20962675.0,17030900.0,21.645,23.880000000000003,23.880000000000003,23.880000000000003,23.880000000000003,23.880000000000003,23.880000000000003,23.880000000000003,23.880000000000003,5.935,7963600.0,2692525.0,4307675.0,3326150.0,0.281,51.85644,0.0,0.0,0.0,1024.3,0.0,0.0,0.0,0.0,23.263912,338.19852,39.932423,334.35904,0.0
2022-01-01 17:00:00+00:00,22233800.0,22609400.0,18138725.0,21.055,25.845,25.845,25.845,25.845,25.845,25.845,25.845,25.845,15.46,6470850.0,3485900.0,4503200.0,3222725.0,-0.119,54.429665,0.0,0.0,0.0,1024.1,2.0,2.0,0.0,0.0,23.587555,344.05453,40.64175,341.40445,0.0
2022-01-01 18:00:00+00:00,22929125.0,23656875.0,18983075.0,19.869999999999997,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,15.46,6894375.0,4028075.0,4437800.0,3135800.0,-0.61899996,59.131916,0.0,0.0,0.0,1023.9,96.0,96.0,0.0,16.0,20.617662,347.90527,35.11061,344.53873,3.0
2022-01-01 19:00:00+00:00,22797075.0,23975250.0,19119450.0,20.02,28.384999999999998,28.384999999999998,28.384999999999998,28.384999999999998,28.384999999999998,28.384999999999998,28.384999999999998,28.384999999999998,15.46,7061475.0,4247425.0,4291250.0,3144975.0,-0.669,64.58863,0.0,0.0,0.0,1023.9,100.0,100.0,0.0,96.0,14.799459,4.184834,24.881702,356.68228,3.0
2022-01-01 20:00:00+00:00,22219725.0,23653950.0,18732725.0,20.23,32.025,32.025,32.025,32.025,32.025,32.025,32.025,32.025,15.46,6755700.0,4214900.0,4074050.0,2948750.0,-0.61899996,69.189224,0.0,0.0,0.0,1024.1,99.0,99.0,0.0,37.0,10.308831,12.094739,17.731598,5.8262515,3.0
2022-01-01 21:00:00+00:00,21790775.0,23194500.0,18629050.0,18.28,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,14.355,6507475.0,4239925.0,3792925.0,2608775.0,-0.819,71.2799,0.0,0.0,0.0,1024.3,94.0,94.0,0.0,9.0,7.342588,348.6901,12.682018,353.4803,3.0
2022-01-01 22:00:00+00:00,21732575.0,22221275.0,18286550.0,19.755000000000003,29.54,29.54,29.54,29.54,29.54,29.54,29.54,29.54,13.25,6464850.0,4192050.0,3168425.0,2388025.0,-1.419,77.351944,0.0,0.0,0.0,1024.6,100.0,100.0,0.0,11.0,7.24486,333.43503,10.308831,347.90527,3.0
2022-01-01 23:00:00+00:00,20700575.0,20769050.0,17648200.0,15.73,19.185000000000002,19.185000000000002,19.185000000000002,19.185000000000002,19.185000000000002,19.185000000000002,19.185000000000002,19.185000000000002,12.434999999999999,5835700.0,4004650.0,2451300.0,1767800.0,-0.969,75.12731,0.0,0.0,0.0,1024.8,100.0,100.0,0.0,69.0,7.7879906,326.3099,9.605998,347.00537,3.0
2022-01-02 00:00:00+00:00,19509875.0,19929250.0,16602175.0,15.46,16.759999999999998,16.759999999999998,16.759999999999998,16.759999999999998,16.759999999999998,16.759999999999998,16.759999999999998,16.759999999999998,11.625,5613300.0,3664750.0,2413475.0,1426275.0,-0.018999994,66.48767,0.0,0.0,0.0,1024.9,45.0,56.0,0.0,19.0,11.043261,340.9743,20.275385,343.49554,1.0
2022-01-02 01:00:00+00:00,21428800.0,20826450.0,17196825.0,15.46,16.235,16.235,16.235,16.235,16.235,16.235,16.235,16.235,11.375,6238975.0,3710300.0,3749225.0,2451950.0,1.831,59.53705,0.0,0.0,0.0,1024.6,97.0,96.0,0.0,6.0,11.792404,347.66092,14.264361,349.82455,3.0
2022-01-02 02:00:00+00:00,21874550.0,21272150.0,17341050.0,15.98,16.175,16.175,16.175,16.175,16.175,16.175,16.175,16.175,13.25,6405100.0,3656925.0,4449450.0,2812075.0,3.2310002,54.930454,0.0,0.0,0.0,1023.1,50.0,50.0,0.0,3.0,8.12197,12.804273,8.905908,14.036275,2.0
2022-01-02 03:00:00+00:00,22136875.0,21608825.0,17390825.0,16.785,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,13.25,6610900.0,3662750.0,4805575.0,3138450.0,4.581,53.263523,0.0,0.0,0.0,1021.5,41.0,39.0,0.0,3.0,4.6102495,51.34017,4.8433046,48.01287,1.0
2022-01-02 04:00:00+00:00,22532875.0,21748950.0,17489525.0,16.725,28.84,28.84,28.84,28.84,19.91,19.91,19.91,19.91,5.765000000000001,6908725.0,3686075.0,5037600.0,3365325.0,5.581,51.965702,0.0,0.0,0.0,1020.2,7.0,7.0,0.0,0.0,6.8777895,132.87889,6.618519,135.0001,0.0
2022-01-02 05:00:00+00:00,22966625.0,21580200.0,17661525.0,15.46,17.97,17.97,17.97,17.97,17.97,17.97,17.97,17.97,4.52,7265950.0,3735150.0,4851200.0,3319050.0,6.0309997,54.060696,0.0,0.0,0.0,1019.1,0.0,0.0,0.0,0.0,11.384199,161.56496,12.313893,164.74483,0.0
2022-01-02 06:00:00+00:00,23452650.0,21321000.0,17346225.0,15.690000000000001,17.105,17.105,17.105,17.105,17.105,17.105,17.105,17.105,13.25,7485950.0,3780800.0,4592250.0,3254100.0,5.731,60.96455,0.0,0.0,0.0,1018.3,4.0,0.0,0.0,4.0,14.154915,172.69434,17.294992,177.6141,0.0
2022-01-02 07:00:00+00:00,23438425.0,21672675.0,17711550.0,16.61,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7571075.0,3780175.0,4195575.0,3026550.0,5.6809998,71.25454,0.0,0.0,0.0,1017.3,0.0,0.0,0.0,0.0,12.313893,164.74483,18.775301,175.60138,0.0
2022-01-02 08:00:00+00:00,24748425.0,21685475.0,18280875.0,15.46,16.855,16.855,16.855,16.855,16.855,16.855,16.855,16.855,11.559999999999999,7821250.0,3467800.0,3901025.0,2908250.0,5.4309998,77.334885,0.0,0.0,0.0,1016.4,0.0,0.0,0.0,0.0,5.315336,151.69934,12.245294,178.31535,0.0
2022-01-02 09:00:00+00:00,26544300.0,21365250.0,18342450.0,12.21,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,6.955,8719675.0,2899750.0,3510475.0,2642525.0,2.9810002,85.154144,0.0,0.0,0.0,1016.3,0.0,0.0,0.0,0.0,9.449572,342.25522,6.379216,286.38962,0.0
2022-01-02 10:00:00+00:00,27930925.0,20409400.0,18114375.0,9.87,12.07,12.07,12.07,12.07,12.07,12.07,12.07,12.07,2.0,9089025.0,2241525.0,3262525.0,2620600.0,1.9309999,83.50278,0.0,0.0,0.0,1015.9,0.0,0.0,0.0,0.0,15.4800005,360.0,15.978486,345.65063,0.0
2022-01-02 11:00:00+00:00,29280750.0,20074600.0,18182250.0,8.135,9.17,9.17,9.17,8.995000000000001,8.995000000000001,8.995000000000001,8.995000000000001,8.995000000000001,0.01,9733600.0,2089850.0,3045550.0,2580350.0,0.8809999,86.170456,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,11.367109,349.04596,14.973577,332.81897,0.0
2022-01-02 12:00:00+00:00,30323575.0,19780275.0,18121725.0,7.12,7.404999999999999,7.4,7.4,7.4,7.4,7.4,7.4,7.4,0.01,10070775.0,2020775.0,3098600.0,2558175.0,0.98099995,77.171,0.0,0.0,0.0,1015.6,0.0,0.0,0.0,0.0,12.074766,349.69522,18.0,343.73972,0.0
2022-01-02 13:00:00+00:00,29608175.0,19571425.0,18014825.0,7.09,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,0.01,9300950.0,2069200.0,3041925.0,2611950.0,0.13100001,76.45727,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,13.905509,338.74942,19.694992,341.89615,0.0
2022-01-02 14:00:00+00:00,27799675.0,19042650.0,17413400.0,7.985,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,0.01,8858600.0,2089825.0,2975700.0,2461350.0,-0.76900005,76.879425,0.0,0.0,0.0,1016.4,0.0,0.0,0.0,0.0,12.245293,335.69547,20.523157,338.38516,0.0
2022-01-02 15:00:00+00:00,25613950.0,19443525.0,17382450.0,10.52,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.055,8342025.0,2529375.0,3133125.0,2400625.0,-0.36900002,71.370224,0.0,0.0,0.0,1016.7,20.0,0.0,0.0,20.0,14.186923,324.2932,26.405453,334.1337,1.0
2022-01-02 16:00:00+00:00,22999225.0,20400200.0,16908400.0,17.455,31.685,31.685,31.685,31.685,16.905,16.905,16.905,16.905,11.559999999999999,7658050.0,3112675.0,3209900.0,2378300.0,1.231,62.386776,0.0,0.0,0.0,1017.0,42.0,6.0,0.0,41.0,23.188583,332.24155,35.770668,331.1135,1.0
2022-01-02 17:00:00+00:00,23061200.0,22448650.0,18734125.0,17.105,20.05,20.05,20.05,20.05,20.05,20.05,20.05,20.05,14.355,7071150.0,3845950.0,3609800.0,2932250.0,2.581,60.86165,0.0,0.0,0.0,1017.5,27.0,1.0,0.0,27.0,28.185953,335.07153,46.395325,338.6113,1.0
2022-01-02 18:00:00+00:00,23766050.0,23547725.0,19520000.0,17.11,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,15.46,7527925.0,4269025.0,3832275.0,3166400.0,3.431,55.820095,0.0,0.0,0.0,1017.4,4.0,0.0,0.0,3.0,33.425762,337.85477,52.62653,339.58148,0.0
2022-01-02 19:00:00+00:00,24282925.0,23847425.0,19542025.0,17.11,18.505,18.505,18.505,18.505,18.505,18.505,18.505,18.505,15.46,7743725.0,4227825.0,3737925.0,3112875.0,2.931,55.475334,0.0,0.0,0.0,1017.5,0.0,0.0,0.0,0.0,33.818928,332.0711,52.34875,335.19736,0.0
2022-01-02 20:00:00+00:00,24250550.0,23659400.0,19277775.0,17.11,19.869999999999997,19.869999999999997,19.869999999999997,19.869999999999997,19.869999999999997,19.869999999999997,19.869999999999997,19.869999999999997,15.46,7737350.0,4203825.0,3736200.0,3087600.0,2.431,54.712315,0.0,0.0,0.0,1017.8,2.0,2.0,0.0,0.0,32.682766,333.15277,51.2466,335.95578,0.0
2022-01-02 21:00:00+00:00,23971100.0,23110700.0,18922650.0,17.105,17.11,17.11,17.11,17.11,17.11,17.11,17.11,17.11,13.25,7821875.0,4155975.0,3447275.0,2778225.0,2.0310001,53.774666,0.0,0.0,0.0,1018.6,0.0,0.0,0.0,0.0,29.144442,334.38455,46.939636,336.9745,0.0
2022-01-02 22:00:00+00:00,22613900.0,21800475.0,18155050.0,17.995,27.595,27.595,27.595,27.595,27.595,27.595,27.595,27.595,13.25,7268225.0,4037425.0,2921175.0,2392975.0,1.3809999,55.477478,0.0,0.0,0.0,1019.2,3.0,3.0,0.0,0.0,23.933907,338.83865,39.9097,338.2945,0.0
2022-01-02 23:00:00+00:00,21475875.0,20463275.0,17642825.0,15.23,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,13.25,6357650.0,3873425.0,2229100.0,1765450.0,2.0310001,56.938812,0.0,0.0,0.0,1019.9,0.0,0.0,0.0,0.0,22.768398,341.56494,37.374172,339.1209,0.0
2022-01-03 00:00:00+00:00,20304725.0,19453625.0,16897525.0,14.235,15.74,15.74,15.74,15.74,15.74,15.74,15.74,15.74,13.25,5909500.0,3511175.0,2466400.0,1906350.0,4.7809997,59.618095,0.0,0.0,0.0,1019.3,0.0,2.0,0.0,8.0,22.380884,334.25934,42.5044,333.86905,0.0
